Alex / Ryan / Dave,Format,My Deck,Opponent's Deck,Game 1/2/3,Win / Lose,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7
Dave,Modern,UG Merfolk,Stompy,1,Win,Island,Mutavault,Aether Vial,Lord of adlantis,Merfolk mistbinder,Merrow reejery,Master of waves
Dave,Modern,UG Merfolk,Stompy,3,Win,Misty,Mutavault,Cursecatcher,Deeproot elite,Merrow reejery,Kumena,
Dave,Modern,UG Merfolk,White Weenie,2,Win,Island,Mutavault,Aether Vial,Cursecatcher,Merrow reejery,Seafloor oracle,
Dave,Modern,UG Merfolk,White Weenie,3,Win,Island,Aether Vial,Cursecatcher,Lord of adlantis,Merfolk mistbinder,Kumena,Master of waves
Ryan,Modern,Mardu Pyromancer,White Weenie,1,Win,Bloodstained mire,blackcleave cliffs,faithless looting,faithless looting,inquisition of kozilek,bedlam reveler,mountain
Ryan,Modern,Mardu Pyromancer,White Weenie,3,win,blackcleave cliffs,inquisition of kozilek,inquisition of kozilek,thoughtseize,fatal push,collective brutality,terminate
Dave,Modern,UG Merfolk,Mono White Hatebears,1,Win,Island,Island,Misty,Silvergill adept,Merrow reejery,Merrow reejery,Merrow reejery 
Ryan,Modern,Mardu Pyromancer,Rock,2,win,lingering souls,young pyromancer,arid mesa,bloodstained mire,marsh flats,lingering souls,inquisition of kozilek
Ryan,Modern,Mardu Pyromancer,Rock,3,win,arid mesa,fatal push,bloodstained mire,young pyromancer,swamp,lightning bolt,dire fleet daredevil
Ryan,Modern,Mardu Pyromancer,affinity,2,win,blackcleave cliffs,blood crypt,inquisition of kozilek,thoughtseize,young pyromancer,wear//tear,terminate
Ryan,Modern,mardu Pyromancer,affinity,3,win,swamp,blackcleave cliffs,blackcleave cliffs,kolaghan's command,inquisition of kozilek,terminate,fatal push
Ryan,modern,mardu Pyromancer,humans,1,win,blackcleave cliffs,blood crypt,bloodstained mire,swamp,young pyromancer,faithless looting,dire fleet daredevil
Ryan,modern,mardu Pyromancer,humans,2,win,blackcleave cliffs,swamp,lightning bolt,bedlam reveler,young pyromancer,kolaghan's command,dreadbore
Ryan,modern,mardu Pyromancer,merfolk,1,win,marsh flats,sacred foundry,terminate,kolaghan's command,lingering souls,thoughtseize,bedlam reveler
ryan,modern,mardu Pyromancer,merfolk,2,win,blackcleave cliffs,arid mesa,sacred foundry,thoughtseize,inquisition of kozilek,bedlam reveler,
ryan,modern,mardu Pyromancer,humans,2,win,marsh flats,swamp,inquisition of kozilek,mountain,faithless looting,bedlam reveler,dreadbore
ryan,modern,mardu Pyromancer,lantern,1,win,Bloodstained mire,lingering souls,faithless looting,young pyromancer,blood moon,,
ryan,modern,mardu Pyromancer,lantern,2,win,blackcleave cliffs,thoughtseize,thoughtseize,inquisition of kozilek,inquisition of kozilek,kambal  consul of allocation,bedlam reveler
ryan,modern,mardu Pyromancer,grixis shadow,2,win,mountain,blackcleave cliffs,inquisition of kozilek,bedlam reveler,young pyromancer,kolaghan's command,terminate
Dave,modern,UG merfolk,UW Spirits,1,win,Breeding pool,Island,Mutavault,Mutavault,Silvergill adept,Kumena,Master of waves
ryan,modern,mardu pyromancer,uwr,2,win,arid mesa,dire fleet daredevil,lightning bolt,terminate,swamp,thoughtseize,
ryan,modern,mardu pyromancer,uwr,3,win,Bloodstained mire,bloodstained mire,faithless looting,lightning bolt,young pyromancer,kolaghan's command,terminate
ryan,modern,mardu pyromancer,burn,2,win,swamp,blackcleave cliffs,blood crypt,inquisition of kozilek,inquisition of kozilek,lingering souls,faithless looting
ryan,modern,mardu pyromancer,burn,3,win,mountain,blood crypt,lightning bolt,dire fleet daredevil,bedlam reveler,kambal  consul of allocation,young pyromancer
