CARD NAME,"% OF KEPT HANDS CONTAINING
"
BAZAAR OF BAGHDAD,"96.3%
"
NARCOMOEBA,"40.74%
"
PRIZED AMALGAM,"40.74%
"
BLOODGHAST,"33.33%
"
MANA CONFLUENCE,"33.33%
"
BRIDGE FROM BELOW,"33.33%
"
STINKWEED IMP,"33.33%
"
SERUM POWDER,"29.63%
"
CABAL THERAPY,"29.63%
"
FORCE OF WILL,"25.93%
"
MENTAL MISSTEP,"22.22%
"
ICHORID,"22.22%
"
DAKMOR SALVAGE,"18.52%
"
HOLLOW ONE,"14.81%
"
UNDISCOVERED PARADISE,"14.81%
"
GOLGARI GRAVE-TROLL,"14.81%
"
NATURE'S CLAIM,"11.11%
"
DAKMOOR SALVAGE,"7.41%
"
GOLGARI THUG,"7.41%
"
GURMAG ANGLER,"7.41%
"
DREAD RETURN,"3.7%
"
PETRIFIED FIELD,"3.7%
"
ELESH NORN,"3.7%
"
GOLGARI-GRAVE TROLL,"3.7%
"
CHANCELLOR OF THE ANNEX,"3.7%
"
