CARD NAME,WIN % OF CONTAINING HANDS,TOTAL # OF HANDS CONTAINED IN,"+/- AVERAGE WIN %
"
DREAD RETURN,100.0%,1,"+44.44%
"
PETRIFIED FIELD,100.0%,1,"+44.44%
"
DAKMOR SALVAGE,100.0%,5,"+44.44%
"
ELESH NORN,100.0%,1,"+44.44%
"
BLOODGHAST,75.0%,9,"+19.44%
"
NARCOMOEBA,68.75%,11,"+13.19%
"
ICHORID,66.67%,6,"+11.11%
"
PRIZED AMALGAM,66.67%,11,"+11.11%
"
BAZAAR OF BAGHDAD,60.71%,26,"+5.15%
"
MENTAL MISSTEP,57.14%,6,"+1.58%
"
BRIDGE FROM BELOW,55.56%,9,"+0.0%
"
STINKWEED IMP,55.56%,9,"+0.0%
"
MANA CONFLUENCE,54.55%,9,"-1.01%
"
DAKMOOR SALVAGE,50.0%,2,"-5.56%
"
UNDISCOVERED PARADISE,50.0%,4,"-5.56%
"
FORCE OF WILL,50.0%,7,"-5.56%
"
GOLGARI GRAVE-TROLL,50.0%,4,"-5.56%
"
GOLGARI THUG,50.0%,2,"-5.56%
"
SERUM POWDER,44.44%,8,"-11.12%
"
HOLLOW ONE,40.0%,4,"-15.56%
"
CABAL THERAPY,37.5%,8,"-18.06%
"
NATURE'S CLAIM,33.33%,3,"-22.23%
"
GOLGARI-GRAVE TROLL,0.0%,1,"-55.56%
"
CHANCELLOR OF THE ANNEX,0.0%,1,"-55.56%
"
GURMAG ANGLER,0.0%,2,"-55.56%
"
